"HolderAddress","Balance","PendingBalanceUpdate"
"0xb0a119eabb5bf005952ec249506ba42da589bdaf","1,005.29670012","No"
"0x8dff5ed950191a69b0c33bbc88e7b0c1a2d71864","1,000.27960124","No"
"0x786406b7a462c0e653c93642282be73be10a8022","1,000","No"
"0x346220c3143b05bb6226cf41423f2e9ed161b195","1,000","No"
"0x3d605761cbe567e1d35d9c2fe3ba712c90b6176d","1,000","No"
"0xb9e0e1cc1d38bb7316e51dac0bf5cf1ae860e8d0","999.67877821","No"
"0xb08cec757e0d4590f71db917a5ac3419a6af76e9","995.77333561","No"
"0x1dd622b5cc25ab33b22506ccd8f91f988be9b05c","990.43838432","No"
"0x9bd29965101e5510fbb7f6d34e1851558bd7d451","986.80151595","No"
"0xc0f63839e3b0554d41e85678b839c370455d34d8","984","No"
"0x1fec442d65eb7f43c771a33d29e9bcf4c191e994","964.84247346","No"
"0x188ceae758687afcf76da2a9a74ee58672ea9014","934.44021676","No"
"0xc846bee2f1fde6a4a174769f39008f337669bde9","929.35516107","No"
"0xe6efbefd5db0cb4ae6cffb0e6403e8a5cadeab36","896.05065189","No"
"0x7a30e1fdcb45bfdeda8bac4d04a69d3c9f1bf1c2","874","No"
"0x78a4d15c6b2283a36d72ebe5f2c4ac840ea55c95","849.667","No"
"0x1c67f3b0e3689dc435a7ee4b672c265be7fae89c","841","No"
"0xbabb6e03a4ef8f87599747037b0948944e7c42b9","828.19479558","No"
"0xef23e109fa0b5cc3f9b16c73034285ec717ce09c","828.05160436","No"
"0xbee4d2fb649a82a0096b93589838c7f0c748c4b2","827.51786874","No"
"0xa6dd6e8260dddd30588e9eb2a3a3305ace2ac50c","825.42035509","No"
"0x1107638595fbad1d5d7951d18ccf012bfdf83b1f","818.21247892","No"
"0x1d15395f781e9e13bf77fc34f1663d6d3543c7fe","815","No"
"0x5831128a63e16f1290cdfe34bda6a239b48281df","795.92486469","No"
"0xec26ce07ac23e79dacb0cdd1bed9f4e424b215cd","769.07497654","No"
"0xfc4d306a0374497422d7e5f24582986655007996","765.99863546","No"
"0x3744fb56ce82944fed651be11e0925cd5ced3bb3","763.64398581","No"
"0xa5ec8bf9e7be485ea127b7cefce7218926fe1fa0","756.034","No"
"0x3f6df9f528db4cda10c369561b8525b86bafc89c","749.7504247","No"
"0x00a7c1fcfe21934f45ea6d0347c3329a74154c37","739.35","No"
"0x521fbd1b1f4c122b70efe77f33d0c6ffdfcfa361","729.50105907","No"
"0x336bc387b869d5decb12499cf2368094d2e1bccf","724.17545052","No"
"0xde8e852a608ea09ff8b5d6c5e5557a7a7d05fcde","707.72869354","No"
"0xa498d128eb210556e94e0013fcdbe5c634f7439e","706.77142978","No"
"0x81bec150864164fa9c0a5c520c092f564c00e9c4","700","No"
"0x57e5f89e0559def637cced80c71ea28ae82a7aae","695.84897433","No"
"0x584ed395de6028d43e5a29f03314f465f35d3dd5","694.49827655","No"
"0xa014a7b2b2ee9a367f6326081cf0396348e9634f","686","No"
"0x6a78b924a9b4f486ca93923eceaccfbd30a09ccc","669.33962263","No"
"0x5f63f323392ce478e37048ee43ad916d1a409ec4","665.25345998","No"
"0xa455fb4a212e956daa0029e730035765bcf67675","656.60174297","No"
"0x03bbacf249c1c4e27090f75a7dd26485cdad0465","646.74324","No"
"0x0de6c855c78d40f9fb3d355c9978f20e8f4f12c9","635.56154053","No"
"0x2adbdb37c446361135f30fb35c29383398b90e68","632.8034188","No"
"0x697948c12125ddf202eb1d51fa92de3f63d4a4fe","631.26133207","No"
"0xa82fde77436348ac322b598168df3d29402b9a0c","629.39367822","No"
"0xe3bb2c2774dc74cb02c8cd882ae34150fb5dae58","624.72892281","No"
"0x3e008d8bbc446371c435eb2051f8b58827012777","615.24826299","No"
"0x11c1ba438e92ca80d10e7b1c4dc38c7900f7f8e4","612.35842477","No"
"0x2963298e4a5fce82ab57c856735b74cf7e8c079d","610.53447691","No"
"0x50cd55b435615fe82cf2ab011be9a9a91f6329dd","609.39114281","No"
"0x8138bdb27cb12ed62dd587d7291b9f45e7946133","605","No"
"0x32576d784197e3f60db07037667f0c69c9a8a5fa","603.74507951","No"
"0xb12c65f5d98daed691512c26451211e0ebab6830","602.7616554","No"
"0x77dcdf5dc67b55c6003ec80487cfc0708494f186","595.00182972","No"
"0xb17f945b2970164dfdeed1bf8e6920f82ef4e5ad","594.80680578","No"
"0x0ee433ad5d12923925f44453952c13ad38611e5f","591.89416125","No"
"0x8baf778c780fd3bcf71428861e78ae1eca64dd48","590","No"
"0xb9fa184c2768e414dd83b2172787b7a6c57b7edc","586.57326121","No"
"0x185f8e81a4d7554c2bb09a0f79da769f16da2e70","583.82168175","No"
"0x6c6629a62b4a001f6316a8d0ad971b3013c53964","575.81593751","No"
"0x5d44035978c748c0c7021556f7b598d14af417b3","570.25541545","No"
"0xc04243fa2b192ae199ddff94cdb6b1418867dd92","546.03365384","No"
"0x4c6fdf19c8769c400f7a87b762a1482cb554597f","537.55938674","No"
"0xc93a55a1cbb14ddbc83d9a0c321678c8cc51721d","530.35288182","No"
"0xdbaaaca6f9dcfdb2e8f3a0bf0607ed4982f8d1f0","529.81324278","No"
"0x5b60b6692390c59e15d6e4780c8d1162d2445d0d","516.48062163","No"
"0xdd1982d6a29c7500a9d2489e9aacd4518b76a6b5","512.0868889","No"
"0x5c830477747d2e2eb97e3a056925005014a7b6bc","502.37448825","No"
"0xf187cd73ff75756e1066cb09633d00e318e658e5","500","No"
"0x20d031535228826dd3ace84535756199cc866b45","500","No"
"0x187dd9db770ed6933afdab44f0ef9ce63f2f157b","500","No"
