Txhash,Blockno,UnixTimestamp,DateTime,From,To,Quantity,Method,block_timestamp,Date,Open,High,Low,Close,Volume,Market Cap
0xc715287792da94268d8ae6f6f973d22d9eef90c4efa47f4574b8b3d148c41b74,12464285,1621420390,2021-05-19 10:33:10,0x18f6cb19ed6af23791c50e34d9e8720c3dcb0bdf,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,"1,453.80419363",Sweep,1621375200,May-19-2021,1.72,1.7437268252868656,1.7027209080764352,1.71,38188.87021300002,678130078.5708145
0xb242aa80593c1083d1d5332658071319514ad9633cbc2378e755af23beb748ab,12464497,1621423142,2021-05-19 11:19:02,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,0x18f6cb19ed6af23791c50e34d9e8720c3dcb0bdf,"1,532.29904977",Transfer,1621375200,May-19-2021,1.72,1.7437268252868656,1.7027209080764352,1.71,38188.87021300002,678130078.5708145
0x8c8ee931880526cf692dd62ba9698f00746d0c40dcc3466e78a35621e859a077,12464522,1621423431,2021-05-19 11:23:51,0x18f6cb19ed6af23791c50e34d9e8720c3dcb0bdf,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,"1,532.29904977",Sweep,1621375200,May-19-2021,1.72,1.7437268252868656,1.7027209080764352,1.71,38188.87021300002,678130078.5708145
0x0c516f6a1ecc7a77089743990db306cbb4b4e6b715aa41d31eb72bbf07438be5,12467433,1621462458,2021-05-19 22:14:18,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,0x18f6cb19ed6af23791c50e34d9e8720c3dcb0bdf,"1,473.20502942",Transfer,1621375200,May-19-2021,1.72,1.7437268252868656,1.7027209080764352,1.71,38188.87021300002,678130078.5708145
0xd825cebed1956f57a1858c53b06bbd9d530c3cc9e17e41c0dbfaed9239c9554e,12467450,1621462696,2021-05-19 22:18:16,0x18f6cb19ed6af23791c50e34d9e8720c3dcb0bdf,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,"1,473.20502942",Sweep,1621375200,May-19-2021,1.72,1.7437268252868656,1.7027209080764352,1.71,38188.87021300002,678130078.5708145
0xa53293ea0fd9400cae91f13009d4b180a42d366274ef2ebbac92a98fa8d4564c,12469912,1621495448,2021-05-20 07:24:08,0x74dec05e5b894b0efec69cdf6316971802a2f9a1,0xa1a01666b044a7636671e86cd8f621bb23aea8a7,917.07937512,Transfer,1621461600,May-20-2021,1.71,1.73,1.5,1.58,12189.889823143632,644390741.9105153
0xa97b7841b07b3423136d6fc4e49109d7c3fbcc5b0ae813afeba722a863b5a5c2,12469939,1621495882,2021-05-20 07:31:22,0xa1a01666b044a7636671e86cd8f621bb23aea8a7,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,917.07937512,Sweep,1621461600,May-20-2021,1.71,1.73,1.5,1.58,12189.889823143632,644390741.9105153
0xe5247fa347131ccb611a2e8f76cf3c426d3b77dac5314fa36a04bdd6703a26fa,12470579,1621504408,2021-05-20 09:53:28,0x74dec05e5b894b0efec69cdf6316971802a2f9a1,0x8d5a2ed9768c3aafcda6d508c3ff2427743b7a92,"1,908.208",Transfer,1621461600,May-20-2021,1.71,1.73,1.5,1.58,12189.889823143632,644390741.9105153
0x62b45dc3d2808469197c7abe3653473e813441509699b173c3ba2abd12c11d30,12470596,1621504671,2021-05-20 09:57:51,0x8d5a2ed9768c3aafcda6d508c3ff2427743b7a92,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,"1,908.208",Sweep,1621461600,May-20-2021,1.71,1.73,1.5,1.58,12189.889823143632,644390741.9105153
0xf65cf614265a019a285758e966c8da7837a59faf142ae5a1c9d2c1d5b311f5a5,12472451,1621529496,2021-05-20 16:51:36,0x744f25650af7cd016df7221bd07647ca25dfc2f3,0x74de5d4fcbf63e00296fd95d33236b9794016631,145.27781139,Swap,1621461600,May-20-2021,1.71,1.73,1.5,1.58,12189.889823143632,644390741.9105153
