address,in_degree,out_degree,total_degree
0x87e61738588dcb706a2d4730fe76d29dffce3949,1,1,2
0x08bda5a8904d3b60f804becda6f553192def685e,1,1,2
0x14e65e3340c039a07c68838a65f67da30a34f1ac,1,1,2
0xe0d64a6677d0ee9b0386068f4f315ea36bf429f3,1,1,2
0x51ab59b6ce05f520de211c9cb9e86d9b36510988,1,1,2
0x8abebfd22e4436b7a915b604b05513b1d949f9c2,1,2,3
0xe645dabcc88a9a6ad9329f34081ef5ba8a616826,1,1,2
0xb6c0859e7353b90d0883cc93f67cb954d4fcd394,1,1,2
0x960073a12c6cfde252a5c36a9afccb5d4849d2ca,1,1,2
0x007bb0518b03f1a8c00e9bb545640800d1e91444,1,1,2
0xba777b3659b73e4e04a51bdd1591924e0c40ce2e,1,1,2
0xc5cf279f4d83f6f45119cacce48b496c1a85ea1b,1,1,2
0x1c68782a11e56a51b5ed87b95efd2f4442b36e5f,1,1,2
0xf37cb8e841f870dc4ea7e948f2200e7f094b58d6,2,3,5
0x53208bf374e1a96dd51bff9fff74cf28ef910139,1,1,2
0x8f79f9cc9b9bdb24e4292d05229475a934cb2a58,1,1,2
0x893716db1dfb01d76a4e018fa4b1a110424b6d5b,1,1,2
0xebbcfae47b01710e77594df3f929f482cb1f18df,1,1,2
0x772e9eb2f27bd523b2ba6560b82578d2e1b18ec0,1,1,2
0x9ecb4feae7cb33e01e57bfec08afe083710a9e4e,1,1,2
0x7adedbcd3e763b4dd1c8071955778fe607c3ed43,1,1,2
0x5a12fe8178c014ea2a5cf5b2fb519e3246f0d792,1,1,2
0x6201b8a3a6f99366f7363b28fca06189ede5d26b,1,1,2
0x92dca2a26208ba2ca2cb0dcf323c15ce1351db46,1,1,2
0xb0485c670b9463531d7731ff282976b546b631b7,1,3,4
0x3da452fd6947bea2735c5eaea04f1c22587cb5b2,2,10,12
0xdc892c3a3b400376f0f0901211511648900437f3,1,1,2
0xb3d8ee4179e11ded27e39cbe053b415186abd8e1,1,1,2
0x0aa705020ff78fd59208ae784601a3739d48e020,1,1,2
0xaf07801f948dde274b1a871f5540f6d6dfd9f9ac,1,1,2
0xbe00e487f23bdc50bfdfe23e2e075d9b401d7699,1,1,2
0xbf81515e30fad7f423f15630d1d45df935718e2c,1,1,2
0x9a9ebd4c0f09bc22530f473fef4f7e0e852c35d5,1,2,3
0x2eda0de065abaeea4e15aab5822a6f4694679acc,1,1,2
0x4a58e83ee0551ee52546232ed0dbd88075c8382d,1,1,2
0xa3d06b0da5ec9e953b442a36d5f613cd5a3650fc,1,1,2
0xd3ba701f804c6ebd2ca9993d529191dde232be8a,1,1,2
0xa0d92ac204111fa521506bff143b12b499382c7c,1,1,2
0xc6cbe1a4458eff6d1e8ecf0a25161467761fe9e6,1,1,2
0x9703c729d8c406a0a0869538f738ae86cef7f609,1,1,2
0x072b6f18349e39b0ecd04abf6606602f47da1a0d,1,1,2
0xaffb9b97b99dba9db32afdc91f2b1371464a7ba7,1,1,2
0x39c44303c08b14bd0f91e9b2584e2891b5a34719,1,1,2
0xa7b1da26285389d8bb2d73aa4566c91dee4bc131,1,2,3
0x8fb0dd8bdd80ea8f26fbe4a0bfbf71fe6e3bd818,1,2,3
0x78af9aa8a266e6629f8d152212a8fe00ab2d8606,1,1,2
0xb541baae47d69cc3032d123be547a75bf8c363c1,2,2,4
0x850c729125e1213d0633f646266e63877c7fadf5,1,1,2
0xe6ba95d8773339dd42979d362559c426209064a8,1,1,2
0x16c586e438af14442b810642e04106ae3ec6afab,1,1,2
0xbdfaf47dde98f6e7f82886c7296c418b3da07d29,1,1,2
0xee0126aae7d26f88ce525fea406b537e8a64e577,4,2,6
0x6d8dc38d2480b656959475e471b74c862aeae208,1,1,2
0xefed902b13df1b3b248e4ecc6e6feef11204cc8d,1,1,2
0xb7b1c10df6fc0d34b0d544f97176a5c8bd9b2824,1,2,3
0x97b0d11daa907adf8221ded595a4e995d912e7f4,1,1,2
0x0fcbc6ed66ac16ddf00cad5fd8dc7ce102c96379,1,1,2
0xe6d3fb1b7f2db17c34d4bb232c0830ba36178086,1,1,2
0x1e1148cd796ded55dc541e5210298ba92dd31dcb,4,1,5
0xf94f4b5584b1e01336685571e8fa6742f03f5cdc,1,1,2
0x347cf668421daf1383036aede470b11af5fbd034,1,1,2
0x95cffd2b2f5e59403d16b131c5b8504c279db3f3,1,1,2
0xf68b1c68c2a6888161ce2b93bcf9659653a464db,1,1,2
0xa859daa59f2a400ac6e805849ff34268d9b38720,1,1,2
0x51bc5484bef1653fb2fc837d1cdf056c5fa33712,1,1,2
0x894e729d8bb64f7673a84db21790d491845ccdf1,1,1,2
0x5e42454cae2dec744ff8605c998213b393e49f56,1,1,2
0x95ed84a2236861f56ab2ccf0a7038a226410cfa8,1,1,2
0x13b0033b2a583e7e7c14789d12e5e75d00e25caa,1,1,2
0x5326034751a5f9bcc87a47b10a65a9ae0f568851,2,3,5
0xddd13c47f44b0010c924976b27683b16f0dab14d,1,1,2
0xe1e9d043b273176185112d3abd087de2d5fa4b95,1,1,2
0xc50ad2abfa1dc95bd7b5a0a7a2caa06e995c9bdf,1,1,2
0x5b7b1518fd0208155a73817674ac577736852d96,1,1,2
0x2b51e3137f7e4650a3a0b3582f1b68276b782351,1,1,2
0x81c0d737d52b2cd13932d81e061a1c80797336f9,1,1,2
0x7337c0a83661b4c098343a0cadba677d2c199c31,1,1,2
0xbda5743d25a9f067228d84a4a31ae273c8f7446f,1,1,2
0xd7e86ed9f5a753fb91ed1d1920358ed3575ad3b6,1,1,2
0x59c97b565f1a57d44e0457a98325f8196b59ecad,1,1,2
0xf27c5ca948201cf19df13212b9989bbf44ddc572,1,1,2
0x717c021d0aa8d101c46fec83b93c2964a95d3755,1,1,2
0xeb056e41f7b6ad8abdb79a868e53d7e4ccbfd32f,1,1,2
0xbd86d0ad7ad6f70dcd26631d06af8d90ac26227f,4,2,6
0xf13a33e22c873912a7da420b27275448284ebd42,1,1,2
0x9de2ba4b8153142245352d48e64ec24c7cf64e44,1,1,2
0xac7bfd3bb2b53e3191bb5bfdd62adcf330c2df03,1,1,2
0x55bc9669d55e2de79daef8e1addd82d05b74fd9f,1,1,2
0x74dec05e5b894b0efec69cdf6316971802a2f9a1,416,880,1296
0x58b4846ae4dae37ef6453ed0beb6b6b861c7e0b0,1,1,2
0xc8b5bba4cbcc47b1d7f1b1caa6f8f60ccc43c45e,1,1,2
0xe153ab2013e7df9569b2c1fb9300a5d94266bf29,1,1,2
0xf168124ad515ebce061e5346874667717fd13f9a,1,1,2
0x2fbc3ef1906d098cbb34fca099095f9788570327,2,5,7
0xf16327f49ef3bfdc26e2680af49f2f527216a083,1,1,2
0xfe9fb45b58e955a1ca155fa8574db2575e84fd69,2,0,2
0x59a5208b32e627891c389ebafc644145224006e8,2,59,61
0x06a9df6e19556e8ea5dced28b30d596f87a3f3ce,1,1,2
0xeed626a0350e953aeefa7b387474ca9a8b88d0e5,1,1,2
0x0623fc6346ceb39a2a85c7115065c9222464d294,1,1,2
0x2ceba99d6fe94bf65913745273f36b3cc2a61d0e,1,1,2
0x1f5223120d62a92ebb2976d2f01b79151dd9efc3,1,1,2
0xa12431d0b9db640034b0cdfceef9cce161e62be4,27,2,29
0x7d755a9c7917a9fd5bd2512506e76628ece612cb,1,1,2
0xbd1787b53967367e28c0701e4d56db442aab0cbb,1,1,2
0xaeb40e5cb4a532656e30a49eefa65250701c6f69,1,1,2
0xf0447918dddb214216078383d33d16d8f954ec72,1,1,2
0x701386af6fa56e45f58f0adef76d9393d4b9acc9,1,1,2
0x21b00de87fa333fa0ca4aee3b23bf0489f426220,2,2,4
0x8fff1c7a2a681bc2524d0d183a3a523436a6b339,29,38,67
0x29d89758be51a71f9f70e3d7beda0153f620ef8e,1,1,2
0xe131ca2f09c1283903f8962ea08736c05be56d9c,1,1,2
0x6c380fbd58fd5a46e710626ad1ce9346fe81a63a,1,1,2
0x09afceb0a0544919022b486c7dd3507ce82c5112,1,1,2
0x08db9e7336a37a3f0ac25fb26755631d5aeaac00,1,1,2
0x406cbfc2d391bed42078138165465128b4e0cb06,2,2,4
0xc2599ebe1944a26188ebb1e469f0dedfd83b188e,1,1,2
0x28df38b94850b7c1e01726dc1200a6f9a7964355,1,1,2
0x59f1e431afeaf1aebe5c1dc45edaeda56af30065,1,1,2
0x8c9abb2514f0fc95610733a0c4eb23194fe05206,1,1,2
0x9ecb52f05c455d0e48b71157ee338ab2fcc2a249,1,1,2
0x600ced30543a83b168af46601f8c459d52038a85,1,1,2
0x1b3175cb24346d214e9b6671f126ff4e3db3b692,1,1,2
0x45de68bf7f484525b3fc2910fe46b53af7bc0cf8,1,1,2
